Chrom	Midpoint	Scan1	Scan2	Scan3
1	1	0.2896	0.2896	0.157813211
1	2	0.2432	0.2432	0.243880983
1	3	0.1086	0.1086	0.325984558
1	4	0.4346	0.4346	1.435184807
1	5	0.7416	0.7416	1.632709112
1	6	0.5721	0.5721	1.356334563
1	7	0.1839	0.1839	2.123142097
1	8	1.2617	1.2617	1.277091866
1	9	2.1482	2.1482	2.396866995
1	10	2.3523	2.3523	1.748394411
1	11	1.9764	1.9764	2.799330117
1	12	0.7803	0.7803	2.184825683
1	13	0.4189	0.4189	0.881028449
1	14	0.8553	0.8553	2.98257355
1	15	1.7571	1.7571	1.878465561
1	16	1.661	1.661	2.486007025
1	17	1.9214	1.9214	2.32553207
1	18	0.5058	0.5058	1.186813165
1	19	0	0	1.454497058
1	20	1.5179	1.5179	1.175479508
1	21	0	0	1.906783215
1	22	0.0048	0.0048	1.800185527
1	23	0.4037	0.4037	0.208920382
1	24	0.8717	0.8717	0.543743378
1	25	0.5114	0.5114	1.313622792
1	26	0.4306	0.4306	2.695694481
1	27	0.9451	0.9451	2.61444864
1	28	3.5958	3.5958	1.567307023
1	29	4.5395	4.5395	2.581874891
1	30	4.1691	4.1691	2.810985107
1	31	3.047	3.047	0.588332467
1	32	2.1927	2.1927	0.549942551
1	33	0.3949	0.3949	1.136328972
1	34	3.3469	3.3469	2.609999168
1	35	3.5954	3.5954	1.122867351
1	36	2.7311	2.7311	0.154487417
1	37	1.2084	1.2084	0.290292728
1	38	0.2104	0.2104	1.926525493
1	39	0.1439	0.1439	2.956776819
1	40	0.6114	0.6114	0.745446281
1	41	0.2214	0.2214	0.938322817
1	42	0.0899	0.0899	2.411090745
1	43	0.1549	0.1549	2.427606739
1	44	0.2378	0.2378	1.25841051
1	45	0.5549	0.5549	2.631554866
1	46	0.3949	0.3949	1.176774148
1	47	0.3765	0.3765	2.684985492
1	48	0	0	2.697284118
1	49	0	0	2.239771977
1	50	0.2511	0.2511	0.874722398
1	51	0	0	0.449860281
1	52	0	0	0.428510942
1	53	0	0	1.348944953
1	54	0	0	2.415150639
1	55	0	0	2.018545748
1	56	0.138	0.138	1.092905826
1	57	0.6522	0.6522	0.558558807
1	58	1.1428	1.1428	0.314129071
1	59	0.9369	0.9369	1.640946581
1	60	0.8087	0.8087	2.901851945
1	61	0.8377	0.8377	1.097954908
1	62	0.8371	0.8371	2.709540599
1	63	0.8097	0.8097	1.327620383
1	64	0.6313	0.6313	2.615453461
1	65	0.2562	0.2562	2.724444413
1	66	0	0	2.998061609
1	67	0	0	0.059227557
1	68	0	0	1.873400744
1	69	0	0	2.190085373
1	70	0	0	1.284465471
1	71	0.441	0.441	0.904123241
1	72	1.702	1.702	2.071628162
1	73	2.604	2.604	2.628699631
1	74	3.1475	3.1475	2.496601383
1	75	3.476	3.476	1.594666875
1	76	3.677	3.677	2.467077257
1	77	3.7787	3.7787	1.779631899
1	78	3.839	3.839	0.603009226
1	79	4.123	4.123	2.369909835
1	80	4.7421	4.7421	1.09108593
1	81	3.4655	3.4655	1.149955844
1	82	1.2067	1.2067	1.740820254
1	83	1.6159	1.6159	0.169074634
1	84	2.7151	2.7151	2.676349022
1	85	2.7535	2.7535	0.10488437
1	86	0.7597	0.7597	0.42886303
1	87	0	0	0.722125571
1	88	1.1433	1.1433	2.122866408
1	89	1.2994	1.2994	2.832167445
1	90	0.5285	0.5285	1.719973127
1	91	1.2136	1.2136	2.145449954
1	92	0.5809	0.5809	0.206542059
1	93	1.6574	1.6574	1.189094209
1	94	1.3958	1.3958	2.31839649
1	95	0.1885	0.1885	2.784921575
1	96	3.5024	3.5024	0.870466824
